9144
1;binocular
2;chair
3;tick
4;minaret
5;Faces
6;accordion
7;rooster
8;Leopards
9;watch
10;dragonfly
11;BACKGROUND_Google
12;laptop
13;Faces
14;brontosaurus
15;watch
16;cougar_face
17;brain
18;ketch
19;ceiling_fan
20;car_side
21;butterfly
22;platypus
23;BACKGROUND_Google
24;Motorbikes
25;BACKGROUND_Google
26;airplanes
27;emu
28;pizza
29;Leopards
30;wrench
31;accordion
32;cup
33;Faces
34;watch
35;dolphin
36;Motorbikes
37;sunflower
38;Faces
39;Faces
40;ibis
41;brain
42;menorah
43;Motorbikes
44;chair
45;Motorbikes
46;airplanes
47;airplanes
48;chair
49;cellphone
50;cup
51;dolphin
52;umbrella
53;stop_sign
54;minaret
55;schooner
56;ferry
57;flamingo
58;hedgehog
59;Faces
60;pagoda
61;airplanes
62;airplanes
63;airplanes
64;saxophone
65;umbrella
66;Faces
67;chandelier
68;watch
69;sea_horse
70;emu
71;pigeon
72;minaret
73;hawksbill
74;umbrella
75;Faces
76;euphonium
77;rhino
78;airplanes
79;Leopards
80;car_side
81;emu
82;Faces
83;Motorbikes
84;watch
85;flamingo_head
86;brontosaurus
87;Motorbikes
88;kangaroo
89;accordion
90;Faces
91;Motorbikes
92;Leopards
93;schooner
94;dragonfly
95;watch
96;buddha
97;revolver
98;laptop
99;ferry
100;laptop
101;airplanes
102;lamp
103;airplanes
104;butterfly
105;Motorbikes
106;grand_piano
107;Faces
108;pizza
109;nautilus
110;hawksbill
111;kangaroo
112;stapler
113;rooster
114;mandolin
115;kangaroo
116;water_lilly
117;Motorbikes
118;BACKGROUND_Google
119;bonsai
120;BACKGROUND_Google
121;octopus
122;anchor
123;airplanes
124;wild_cat
125;Motorbikes
126;dolphin
127;gramophone
128;ketch
129;cougar_body
130;Leopards
131;pyramid
132;llama
133;airplanes
134;Faces
135;pyramid
136;cougar_face
137;airplanes
138;flamingo
139;flamingo_head
140;brain
141;Leopards
142;dolphin
143;Leopards
144;BACKGROUND_Google
145;okapi
146;grand_piano
147;Faces
148;chandelier
149;starfish
150;airplanes
151;menorah
152;wrench
153;BACKGROUND_Google
154;metronome
155;crab
156;Faces
157;Faces
158;airplanes
159;butterfly
160;airplanes
161;Faces
162;helicopter
163;Motorbikes
164;chandelier
165;chair
166;starfish
167;crocodile
168;flamingo_head
169;saxophone
170;scissors
171;stegosaurus
172;Leopards
173;butterfly
174;bass
175;car_side
176;beaver
177;revolver
178;Faces
179;okapi
180;BACKGROUND_Google
181;gramophone
182;grand_piano
183;ceiling_fan
184;airplanes
185;buddha
186;chandelier
187;stapler
188;elephant
189;Motorbikes
190;airplanes
191;Leopards
192;grand_piano
193;pyramid
194;crab
195;minaret
196;airplanes
197;Faces
198;Faces
199;windsor_chair
200;Leopards
201;Motorbikes
202;cougar_body
203;BACKGROUND_Google
204;cannon
205;chandelier
206;wheelchair
207;Faces
208;binocular
209;Faces
210;emu
211;schooner
212;chandelier
213;ant
214;dragonfly
215;airplanes
216;BACKGROUND_Google
217;airplanes
218;airplanes
219;Faces
